172,20,229,20,
219,20,263,20,
282,20,337,20,
360,20,439,20,
435,20,476,20,
517,20,515,20,
500,20,532,20,
473,20,540,20,
432,20,452,20,
330,20,368,20,
323,20,386,20,
324,20,376,20,
336,20,449,20,
287,20,450,20,
140,20,382,20,
65,20,256,20,
194,20,231,20,
409,20,327,20,
569,20,480,20,
691,0,640,0,
773,90,750,-20,
843,90,840,-20,
885,90,892,-20,
912,90,923,-20,
927,90,940,-20,
936,90,948,-20,
943,90,951,-20,
945,90,952,-20,
944,90,951,-20,
939,90,944,-20,
930,90,933,-20,
914,90,916,-20,
889,90,887,-20,
842,90,836,-20,
740,0,714,0,
566,20,532,20,
226,20,192,20,
448,0,678,20,
160,20,220,20,
273,20,217,20,
385,20,314,20,
425,20,362,20,
371,20,318,20,
223,20,198,20,
195,20,250,20,
160,20,216,20,
139,20,227,20,
138,20,224,20,
174,20,200,20,
159,20,233,20,
194,20,200,20,
198,20,199,20,
205,20,187,20,
247,20,209,20,
236,20,245,20,
233,20,243,20,
222,20,236,20,
213,20,258,20,
170,20,248,20,
144,20,180,20,
164,20,253,20,
166,20,234,20,
237,20,272,20,
541,20,204,20,
684,20,228,0,
730,20,165,0,
677,20,203,0,
708,20,197,0,
738,20,188,0,
761,90,202,-20,
780,90,215,-20,
759,90,210,-20,
709,20,160,0,
615,20,167,0,
509,20,188,20,
412,20,226,20,
326,20,245,20,
288,20,246,20,
270,20,241,20,
323,20,228,20,
294,20,250,20,
228,20,171,20,
146,20,226,20,
157,20,211,20,
157,20,194,20,
132,20,205,20,
144,20,187,20,
183,20,205,20,
163,20,226,20,
233,20,196,20,
207,20,211,20,
193,20,187,20,
240,20,188,20,
254,20,220,20,
240,20,204,20,
197,20,227,20,
215,20,227,20,
179,20,234,20,
193,20,293,20,
242,20,329,20,
215,20,291,20,
145,20,310,20,
144,20,273,20,
175,20,215,20,
119,20,193,20,
98,20,235,20,
112,20,246,20,
144,20,300,20,
122,20,308,20,
